V	R	G	B
0.441666667	0.0	1.0	0.233333333333
0.445833333	0.0	1.0	0.216666666667
0.45	0.0	1.0	0.2
0.454166667	0.0	1.0	0.183333333333
0.458333333	0.0	1.0	0.166666666667
0.4625	0.0	1.0	0.15
0.466666667	0.0	1.0	0.133333333333
0.470833333	0.0	1.0	0.116666666667
0.475	0.0	1.0	0.1
0.479166667	0.0	1.0	0.0833333333333
0.483333333	0.0	1.0	0.0666666666667
0.4875	0.0	1.0	0.05
0.491666667	0.0	1.0	0.0333333333333
0.495833333	0.0	1.0	0.0166666666667
0.5	0.0	1.0	0.0
0.504166667	0.0166666666667	1.0	0.0
0.508333333	0.0333333333333	1.0	0.0
0.5125	0.05	1.0	0.0
0.516666667	0.0666666666667	1.0	0.0
0.520833333	0.0833333333333	1.0	0.0
0.525	0.1	1.0	0.0
0.529166667	0.116666666667	1.0	0.0
0.533333333	0.133333333333	1.0	0.0
0.5375	0.15	1.0	0.0
0.541666667	0.166666666667	1.0	0.0
0.545833333	0.183333333333	1.0	0.0
0.55	0.2	1.0	0.0
0.554166667	0.216666666667	1.0	0.0
0.558333333	0.233333333333	1.0	0.0
0.5625	0.25	1.0	0.0
0.566666667	0.266666666667	1.0	0.0
0.570833333	0.283333333333	1.0	0.0
0.575	0.3	1.0	0.0
0.579166667	0.316666666667	1.0	0.0
0.583333333	0.333333333333	1.0	0.0
0.5875	0.35	1.0	0.0
0.591666667	0.366666666667	1.0	0.0
0.595833333	0.383333333333	1.0	0.0
0.6	0.4	1.0	0.0
0.604166667	0.416666666667	1.0	0.0
0.608333333	0.433333333333	1.0	0.0
0.6125	0.45	1.0	0.0
0.616666667	0.466666666667	1.0	0.0
0.620833333	0.483333333333	1.0	0.0
0.625	0.5	1.0	0.0
0.629166667	0.516666666667	1.0	0.0
0.633333333	0.533333333333	1.0	0.0
0.6375	0.55	1.0	0.0
0.641666667	0.566666666667	1.0	0.0
0.645833333	0.583333333333	1.0	0.0
0.65	0.6	1.0	0.0
0.654166667	0.616666666667	1.0	0.0
0.658333333	0.633333333333	1.0	0.0
0.6625	0.65	1.0	0.0
0.666666667	0.666666666667	1.0	0.0
0.670833333	0.683333333333	1.0	0.0
0.675	0.7	1.0	0.0
0.679166667	0.716666666667	1.0	0.0
0.683333333	0.733333333333	1.0	0.0
0.6875	0.75	1.0	0.0
0.691666667	0.766666666667	1.0	0.0
0.695833333	0.783333333333	1.0	0.0
0.7	0.8	1.0	0.0
0.704166667	0.816666666667	1.0	0.0
0.708333333	0.833333333333	1.0	0.0
0.7125	0.85	1.0	0.0
0.716666667	0.866666666667	1.0	0.0
0.720833333	0.883333333333	1.0	0.0
0.725	0.9	1.0	0.0
0.729166667	0.916666666667	1.0	0.0
0.733333333	0.933333333333	1.0	0.0
0.7375	0.95	1.0	0.0
0.741666667	0.966666666667	1.0	0.0
0.745833333	0.983333333333	1.0	0.0
0.75	1.0	1.0	0.0
0.754166667	1.0	0.983333333333	0.0
0.758333333	1.0	0.966666666667	0.0
